"Keyword","Position","Previous position","Search Volume","Keyword Difficulty","CPC","URL","Traffic","Traffic (%)","Traffic Cost","Competition","Number of Results","Trends","Timestamp","SERP Features by Keyword","Keyword Intents","Position Type"
"結婚お祝いメッセージ","1","1","2900","25","0.01","https://www.weddingpark.net/magazine/3789/","1363","0.28","13.00","0.06","180","[81,100,100,100,81,81,81,67,81,53,53,53]","2026-08-16","AI overview, Video, Short videos, People also ask","informational","Organic"
"結婚メッセージ","1","1","2900","20","0.01","https://www.weddingpark.net/magazine/3789/","1363","0.28","13.00","0.04","115","[100,100,100,100,66,66,66,66,82,55,43,36]","2026-08-16","Sitelinks, Video, Short videos, People also ask","commercial","Organic"
"結婚 の お祝い メッセージ","1","1","9900","20","0.01","https://www.weddingpark.net/magazine/3789/","1287","0.27","12.00","0.06","176","[82,100,100,100,82,82,82,67,82,55,55,45]","2026-08-18","AI overview, Image pack, Video, Short videos, People also ask, Twitter","informational","Organic"
"末永く お幸せ に","1","1","9900","17","0.01","https://www.weddingpark.net/magazine/3789/","1287","0.27","12.00","0.01","112","[100,100,100,100,100,100,82,82,100,67,82,67]","2026-08-14","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
"結婚 指輪 人気","2","2","18100","31","0.83","https://ringraph.weddingpark.net/ranking/3","1267","0.26","1051.00","0.99","197","[82,100,82,82,82,82,82,67,67,82,82,82]","2026-08-14","Sitelinks, AI overview, Image, Video, Short videos, People also ask, Feature_34","informational","Organic"
"ブシュロン 指輪","7","7","40500","27","0.67","https://ringraph.weddingpark.net/brand/b300116/review?ring_type=1","1215","0.25","814.00","0.99","171","[55,67,67,67,67,100,100,67,67,67,67,67]","2026-08-18","Sitelinks, Image, Image pack, Short videos, People also ask, Twitter, Feature_34","informational, transactional","Organic"
"ザ ガーデン オリエンタル 大阪","7","7","40500","32","1.18","https://www.weddingpark.net/00001b62/","1215","0.25","1433.00","0.06","120","[82,55,67,55,55,67,67,82,100,100,100,82]","2026-08-14","Image, Video, Short videos, People also ask, Local pack, Twitter","navigational, transactional","Organic"
"セクシー な 女性","1","1","2400","29","0.00","https://www.weddingpark.net/magazine/1181/","1128","0.23","0.00","0.8","191","[100,20,15,15,55,20,15,24,15,44,24,67]","2026-07-06","Image pack, Video, Short videos, People also ask","informational","Organic"
"カルティエ 結婚 指輪","4","4","110000","37","0.19","https://ringraph.weddingpark.net/brand/b300089","1100","0.23","209.00","0.32","0","[81,81,81,67,67,81,100,67,67,67,81,67]","2026-08-14","Sitelinks, Image pack, Video, Short videos, People also ask, Feature_34","navigational, transactional","Organic"
"ショーメ 結婚 指輪","5","5","27100","22","0.26","https://ringraph.weddingpark.net/brand/b300138/review?ring_type=2","1084","0.22","281.00","0.21","102","[100,67,82,67,67,67,67,55,67,67,67,67]","2026-08-17","Sitelinks, AI overview, Short videos, People also ask, Twitter","informational","Organic"
"4dx 映画 館","8","8","40500","61","0.00","https://www.weddingpark.net/magazine/4823/","1012","0.21","0.00","0.33","147","[30,100,82,45,20,20,13,16,20,30,30,25]","2026-08-17","AI overview, Image, Video, Short videos, People also ask, Local pack, Knowledge panel","informational","Organic"
"映画 館 4dx","9","9","40500","50","0.00","https://www.weddingpark.net/magazine/4823/","1012","0.21","0.00","0.33","142","[30,100,82,45,20,20,13,16,20,30,30,25]","2026-08-16","AI overview, Image, Video, Short videos, People also ask","informational","Organic"
"婚姻 届 証人","8","8","40500","20","0.08","https://www.weddingpark.net/qa/7453/","1012","0.21","80.00","0.11","106","[100,82,100,100,100,100,100,82,82,82,82,82]","2026-08-16","Sitelinks, AI overview, Image pack, Video, Short videos, People also ask","informational","Organic"
"ブシュロン 結婚 指輪","7","7","33100","22","0.94","https://ringraph.weddingpark.net/brand/b300116/review/p5?ring_type=2","993","0.2","933.00","0.68","102","[82,82,82,82,82,100,100,82,82,82,100,100]","2026-08-17","Sitelinks, Image pack, Short videos, People also ask","informational","Organic"
"ラザール ダイヤモンド","4","4","33100","60","0.29","https://ringraph.weddingpark.net/brand/b300007","993","0.2","287.00","0.4","163","[67,82,82,82,82,82,100,82,82,82,82,100]","2026-08-17","Sitelinks, Image, Video, Short videos, People also ask, Local pack, Twitter","navigational, transactional","Organic"
"ブシュロン 婚約 指輪","4","4","18100","25","1.04","https://ringraph.weddingpark.net/brand/b300116/review?ring_type=1","905","0.19","941.00","0.34","164","[82,100,82,82,82,100,100,100,82,82,100,100]","2026-08-17","Sitelinks, Image, Image pack, Short videos, People also ask, Twitter","informational","Organic"
"結婚 祝い メッセージ","1","1","6600","20","0.02","https://www.weddingpark.net/magazine/3789/","858","0.18","17.00","0.06","176","[100,100,100,81,81,81,81,81,81,67,67,54]","2026-08-12","AI overview, Video, Short videos, People also ask","informational","Organic"
"プラチナ 結婚 指輪","2","2","6600","21","0.71","https://ringraph.weddingpark.net/ranking/mrg/23","858","0.18","609.00","1","179","[67,67,67,67,67,100,100,81,81,67,81,81]","2026-08-16","Sitelinks, AI overview, Image, Video, Short videos, People also ask, Feature_34","commercial, informational","Organic"
"婚約 指輪 ブランド","6","6","27100","32","1.05","https://ringraph.weddingpark.net/ranking/2","813","0.17","853.00","0.98","131","[82,100,100,82,82,100,100,67,82,67,82,82]","2026-08-17","Sitelinks, AI overview, Image pack, Video, Short videos, People also ask","informational","Organic"
"お身体ご自愛ください","6","6","27100","28","0.02","https://www.weddingpark.net/magazine/6547/","813","0.17","16.00","0.03","113","[67,55,45,45,55,100,67,45,55,30,30,30]","2026-08-17","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
"お 身体 ご 自愛 ください","6","6","27100","23","0.02","https://www.weddingpark.net/magazine/6547/","813","0.17","16.00","0.03","111","[67,55,45,45,55,100,67,45,55,30,30,30]","2026-08-14","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
"リングラフ","1","1","1000","44","0.95","https://ringraph.weddingpark.net/","800","0.16","760.00","0.16","5","[100,62,62,62,62,62,62,62,62,62,62,62]","2026-07-05","Sitelinks, Image pack, Short videos, People also ask","navigational","Organic"
"グラフ","10","10","60500","56","0.28","https://ringraph.weddingpark.net/brand/b300131/review","786","0.16","220.00","0.65","135","[100,82,82,100,100,100,100,82,82,67,82,67]","2026-08-14","Sitelinks, AI overview, Video, Short videos, People also ask, Knowledge panel, Twitter","informational","Organic"
"結婚式メッセージ","1","1","1600","19","0.01","https://www.weddingpark.net/magazine/3789/","752","0.15","7.00","0.06","117","[79,100,100,79,54,54,67,54,67,42,42,37]","2026-08-18","Video, Short videos, People also ask","commercial","Organic"
"桑名 ランチ","5","5","14800","37","0.10","https://www.weddingpark.net/magazine/7573/","740","0.15","74.00","0.02","137","[100,100,100,100,82,82,100,82,100,100,100,82]","2026-08-18","Video, Short videos, Local pack","commercial","Organic"
"ララシャンス ベルアミー","4","4","18100","37","2.92","https://www.weddingpark.net/000013f0/","724","0.15","2114.00","0.01","135","[9,20,67,82,67,82,82,100,100,100,82,82]","2026-08-17","Image, Video, Short videos, People also ask, Local pack, Twitter","transactional","Organic"
"結婚 おめでとう メッセージ","1","1","5400","20","0.01","https://www.weddingpark.net/magazine/3789/","702","0.14","7.00","0.01","110","[100,100,100,82,82,82,82,82,100,67,67,55]","2026-08-06","AI overview, Image, Video, Short videos, People also ask","informational","Organic"
"赤い 薔薇 花 言葉","2","2","9900","32","0.02","https://www.weddingpark.net/magazine/2221/","693","0.14","13.00","0.03","106","[82,67,82,82,82,82,82,82,100,67,100,82]","2026-08-17","AI overview, Image, Image pack, Video, Short videos, People also ask","informational","Organic"
"ご 教示 ください","2","2","9900","26","0.02","https://www.weddingpark.net/magazine/6548/","693","0.14","13.00","0.06","110","[82,67,82,82,100,67,82,67,82,67,67,82]","2026-08-18","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
"ご教授ください","9","9","27100","32","0.01","https://www.weddingpark.net/magazine/6548/","677","0.14","6.00","0.08","108","[100,82,100,100,82,82,82,82,82,45,67,55]","2026-08-17","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
"ロイヤル アッシャー","9","9","22200","34","0.32","https://ringraph.weddingpark.net/brand/b300078/review?purchase_age_generation[]=6","666","0.14","213.00","0.42","139","[55,67,67,67,82,82,100,82,82,82,82,82]","2026-08-17","Sitelinks, Image, Video, Short videos, People also ask, Knowledge panel, Twitter","informational, navigational","Organic"
"マリッジ ブルー","8","0","22200","25","0.05","https://www.weddingpark.net/qa/7325/","666","0.14","33.00","0.05","132","[82,82,100,82,82,67,82,100,82,55,82,82]","2026-08-18","Sitelinks, AI overview, Video, Short videos, People also ask, Knowledge panel","informational","Organic"
"結婚 式 招待 状 返信","9","9","22200","24","0.01","https://www.weddingpark.net/magazine/8225/","666","0.14","6.00","0.06","195","[82,100,100,67,45,55,55,55,67,55,45,37]","2026-08-14","Image, Image pack, Video, Short videos","informational","Organic"
"にわか","5","5","22200","33","1.03","https://ringraph.weddingpark.net/brand/b300014","666","0.14","685.00","0.04","107","[82,82,100,100,100,100,100,82,82,82,82,100]","2026-08-15","Sitelinks, AI overview, Video, Short videos, People also ask, Local pack, Twitter","navigational","Organic"
"ブシュロン リング","6","6","22200","22","0.51","https://ringraph.weddingpark.net/brand/b300116/review?ring_type=1","666","0.14","339.00","0.99","169","[20,24,24,37,37,67,100,82,55,55,67,82]","2026-08-18","Sitelinks, Image, Image pack, Short videos, People also ask, Twitter, Feature_34","informational, transactional","Organic"
"指輪 ブランド","6","6","22200","24","0.56","https://ringraph.weddingpark.net/ranking/2","666","0.14","372.00","1","184","[67,67,67,67,67,100,100,67,82,67,67,82]","2026-08-16","Sitelinks, AI overview, Image, Image pack, Video, Short videos, People also ask, Feature_34","informational","Organic"
"結婚 指輪 カルティエ","7","7","110000","39","0.19","https://ringraph.weddingpark.net/brand/b300089","660","0.13","125.00","0.32","162","[81,81,81,67,67,81,100,67,67,67,81,67]","2026-08-17","Sitelinks, AI overview, Image pack, Video, Short videos, People also ask, Feature_34","informational, navigational","Organic"
"婚約 指輪","10","10","90500","45","1.80","https://ringraph.weddingpark.net/eng","633","0.13","1139.00","0.98","204","[82,100,100,82,82,100,100,82,82,82,82,82]","2026-08-17","Sitelinks, AI overview, Image, Video, Short videos, People also ask, Feature_34","commercial, informational","Organic"
"婚約 指輪 シンプル","1","1","1300","16","0.93","https://ringraph.weddingpark.net/eng/t1","611","0.12","568.00","1","194","[100,81,81,81,62,62,62,81,62,62,62,62]","2026-07-05","Sitelinks, Image, Video, Short videos, People also ask","commercial","Organic"
"結婚 メッセージ カード","1","1","1300","18","0.01","https://www.weddingpark.net/magazine/3789/","611","0.12","6.00","0.19","187","[81,81,81,100,100,81,81,81,62,100,62,62]","2026-07-07","Sitelinks, Image, Image pack, Video, Short videos, People also ask","informational","Organic"
"金 運 アップ","4","4","12100","24","0.23","https://www.weddingpark.net/magazine/7595/","605","0.12","139.00","0.21","131","[82,82,82,67,67,82,100,67,67,67,67,55]","2026-08-14","Sitelinks, AI overview, Image pack, Video, Short videos, People also ask","informational","Organic"
"釣 書 と は","3","3","12100","23","0.00","https://www.weddingpark.net/magazine/7535/","605","0.12","0.00","0.33","102","[2,1,1,2,1,1,2,2,4,2,2,100]","2026-08-17","Sitelinks, AI overview, Image, Image pack, Short videos, People also ask","informational","Organic"
"釣 書","2","2","12100","23","0.00","https://www.weddingpark.net/magazine/7535/","605","0.12","0.00","0.33","107","[6,7,6,7,6,5,6,5,7,5,6,100]","2026-08-17","Sitelinks, AI overview, Image, Image pack, Video, Short videos, People also ask","informational","Organic"
"アンソレイエ","4","4","12100","36","0.61","https://www.weddingpark.net/00000bb6/","605","0.12","369.00","0.03","119","[100,82,82,82,82,82,100,82,100,100,100,82]","2026-08-18","Image, Video, Short videos, People also ask, Local pack, Twitter","commercial","Organic"
"映画 館 4dx 東京","2","2","6600","55","0.00","https://www.weddingpark.net/magazine/4823/","594","0.12","0.00","0.33","131","[30,100,100,45,20,20,13,13,20,30,30,30]","2026-08-15","Video, Short videos, People also ask, Local pack","commercial","Organic"
"東京 映画 館 4dx","2","2","6600","61","0.00","https://www.weddingpark.net/magazine/4823/","594","0.12","0.00","0.33","132","[30,100,100,45,20,20,13,13,20,30,30,30]","2026-08-15","Video, Short videos, People also ask, Local pack","commercial","Organic"
"プラチナ 結婚指輪","2","2","6600","22","0.71","https://ringraph.weddingpark.net/ranking/mrg/23","594","0.12","421.00","1","182","[67,67,67,67,67,100,100,81,81,67,81,81]","2026-08-17","Sitelinks, AI overview, Video, Short videos, People also ask, Feature_34","commercial, informational","Organic"
"東京 4dx 映画 館","2","2","6600","55","0.00","https://www.weddingpark.net/magazine/4823/","594","0.12","0.00","0.33","135","[30,100,100,45,20,20,13,13,20,30,30,30]","2026-08-12","Sitelinks, Video, Short videos, People also ask, Local pack","commercial","Organic"
"4dx 映画 館 東京","2","2","6600","47","0.00","https://www.weddingpark.net/magazine/4823/","594","0.12","0.00","0.33","138","[30,100,100,45,20,20,13,13,20,30,30,30]","2026-08-16","Sitelinks, Video, Short videos, People also ask, Local pack","commercial","Organic"
"ご自愛ください 例文","5","4","14800","26","0.02","https://www.weddingpark.net/magazine/6547/","592","0.12","11.00","0.05","104","[55,45,30,37,55,100,30,20,20,13,13,13]","2026-08-19","AI overview, Video, Short videos, People also ask","informational","Organic"
"ティファニー 結婚 指輪","5","5","74000","49","0.88","https://ringraph.weddingpark.net/brand/b300088/review","592","0.12","520.00","0.58","164","[82,82,82,67,67,82,100,67,67,67,82,82]","2026-08-15","Sitelinks, Image, Short videos, People also ask, Twitter, Feature_34","informational, transactional","Organic"
"ウェディング パーク 口コミ","1","1","720","50","0.34","https://www.weddingpark.net/","576","0.12","195.00","0.26","118","[55,55,55,67,67,82,100,82,100,100,100,100]","2026-07-22","Sitelinks, Short videos, People also ask, Knowledge panel, Twitter","navigational","Organic"
"結婚 式 招待 状 書き方","2","2","4400","17","0.02","https://www.weddingpark.net/magazine/8225/","572","0.12","11.00","0.05","119","[67,82,100,100,67,44,55,55,55,55,36,29]","2026-07-08","Sitelinks, Image pack, Video, Short videos, People also ask","informational","Organic"
"ザ ギノザリゾート 美 ら の 教会","2","2","4400","19","1.55","https://www.weddingpark.net/00001dc0/","572","0.12","886.00","0.06","130","[67,67,55,67,100,82,67,55,67,82,67,44]","2026-07-07","Ads top, Image, Video, Short videos, People also ask, Knowledge panel, Ads middle, Twitter","informational","Organic"
"ガーデン ウェディング","1","1","4400","18","1.28","https://www.weddingpark.net/osusume/garden/p13/","572","0.12","732.00","0.3","190","[100,67,67,67,67,67,55,67,55,67,67,82]","2026-07-08","AI overview, Image, Image pack, Video, Short videos","commercial","Organic"
"宮の森 フランセス 教会","3","3","8100","24","1.65","https://www.weddingpark.net/0000077c/map/","567","0.11","935.00","0.09","160","[45,45,55,67,100,100,55,55,55,45,55,45]","2026-08-16","Sitelinks, AI overview, Short videos, People also ask, Knowledge panel, Related searches, Twitter","navigational","Organic"
"ノート ルダム 横浜 みなとみらい","5","5","18100","35","1.88","https://www.weddingpark.net/00001d9a/kuchikomi/","543","0.11","1020.00","0.08","104","[45,55,67,100,100,67,67,67,67,55,82,55]","2026-08-18","AI overview, Image, Image pack, Short videos, People also ask, Local pack, Twitter","transactional","Organic"
"結婚 式 費用","6","9","18100","25","0.50","https://www.weddingpark.net/estimate/hint/","543","0.11","271.00","0.3","132","[100,100,100,100,100,82,100,82,82,67,82,82]","2026-08-18","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
"ヴァンクリ 結婚 指輪","4","4","9900","23","0.18","https://ringraph.weddingpark.net/brand/b300108","495","0.1","89.00","0.81","173","[82,82,82,82,82,100,100,82,82,82,100,82]","2026-08-16","Sitelinks, Image pack, Short videos, People also ask, Twitter, Feature_34","informational","Organic"
"釣書とは","3","3","9900","26","0.00","https://www.weddingpark.net/magazine/7535/","495","0.1","0.00","0.33","100","[2,1,1,2,1,1,2,2,4,2,2,100]","2026-08-14","Sitelinks, AI overview, Short videos, People also ask","informational","Organic"
"グラフ 指輪","3","3","9900","21","0.78","https://ringraph.weddingpark.net/brand/b300131/review?ring_type=1","495","0.1","386.00","0.97","197","[82,82,82,82,82,100,100,67,82,82,82,55]","2026-08-14","Sitelinks, Image, Video, Short videos, People also ask, Twitter, Feature_34","informational","Organic"
"薔薇 色 花 言葉","4","4","9900","31","0.02","https://www.weddingpark.net/magazine/2221/","495","0.1","9.00","0.07","135","[55,55,55,67,67,67,67,82,100,55,82,55]","2026-08-14","Image, Image pack, Video, Short videos, People also ask","informational","Organic"
"カルティエ 婚約指輪","4","4","49500","48","0.30","https://ringraph.weddingpark.net/brand/b300089/review","495","0.1","148.00","0.29","159","[82,100,82,82,82,100,100,82,67,67,82,45]","2026-08-17","Sitelinks, Video, Short videos, People also ask, Twitter","informational","Organic"
"カルティエ 婚約 指輪","4","4","49500","49","0.30","https://ringraph.weddingpark.net/brand/b300089/review","495","0.1","148.00","0.29","169","[82,100,82,82,82,100,100,82,67,67,82,67]","2026-08-18","Sitelinks, Image, Video, Short videos, People also ask, Feature_34","informational","Organic"
"バラ 色 意味","1","1","5400","31","0.02","https://www.weddingpark.net/magazine/2221/","486","0.1","9.00","0.08","125","[44,44,54,54,54,67,67,81,100,54,81,67]","2026-08-19","Image, Image pack, Video, Short videos, People also ask","informational","Organic"
"シャネル指輪","5","5","12100","39","0.45","https://ringraph.weddingpark.net/brand/b300115","484","0.1","217.00","0.78","168","[67,82,82,67,82,100,100,67,67,67,67,67]","2026-08-15","Sitelinks, Short videos, People also ask, Feature_34","informational, transactional","Organic"
"ゆるい 指輪","1","1","1000","17","0.09","https://ringraph.weddingpark.net/magazine/224","470","0.09","42.00","0.7","150","[68,55,55,55,77,77,100,100,77,77,68,77]","2026-07-05","Sitelinks, Video, Video Carousel, Short videos, People also ask","commercial","Organic"
"和風 結婚 指輪","1","1","1000","12","1.57","https://ringraph.weddingpark.net/ranking/mrg/22","470","0.09","737.00","0.98","149","[62,81,62,55,55,62,62,55,62,81,100,81]","2026-07-28","Sitelinks, Image, Image pack, Video, Short videos, People also ask, Twitter, Feature_34","commercial","Organic"
"淀屋橋 カフェ","3","3","6600","36","0.00","https://www.weddingpark.net/magazine/7628/","462","0.09","0.00","0.07","125","[81,81,81,81,81,81,81,67,81,81,100,67]","2026-08-13","Image, Video, Short videos, Local pack, Twitter","commercial","Organic"
"結婚 指輪 プラチナ","2","2","6600","17","0.71","https://ringraph.weddingpark.net/ranking/mrg/23","462","0.09","328.00","1","178","[67,67,67,67,67,100,100,81,81,67,81,81]","2026-08-16","Sitelinks, AI overview, Image, Video, Short videos, People also ask, Ads bottom, Feature_34","commercial, informational","Organic"
"結婚指輪 プラチナ","2","2","6600","18","0.71","https://ringraph.weddingpark.net/ranking/mrg/23","462","0.09","328.00","1","183","[67,67,67,67,67,100,100,81,81,67,81,81]","2026-08-15","Sitelinks, AI overview, Video, Short videos, People also ask, Ads bottom, Feature_34","commercial, informational","Organic"
"ショーメ リング","5","5","18100","22","0.09","https://ringraph.weddingpark.net/brand/b300138","452","0.09","40.00","0.97","173","[37,37,45,45,45,100,100,82,67,67,82,67]","2026-08-14","Sitelinks, Image, Image pack, Short videos, People also ask, Twitter, Feature_34","informational, transactional","Organic"
"チャペル","5","5","18100","27","2.82","https://www.weddingpark.net/osusume/chapel/p40/","452","0.09","1274.00","0.07","134","[67,82,67,67,67,67,82,67,82,67,82,100]","2026-08-18","Sitelinks, AI overview, Video, Video Carousel, Short videos, People also ask, Local pack, Knowledge panel","informational","Organic"
"ランチ 桑名","6","6","14800","37","0.10","https://www.weddingpark.net/magazine/7573/","444","0.09","44.00","0.02","136","[100,100,100,100,82,82,100,82,100,100,100,82]","2026-08-17","Image, Video, Short videos, People also ask, Local pack","commercial","Organic"
"ショーメ 婚約 指輪","8","8","14800","27","0.21","https://ringraph.weddingpark.net/brand/b300138/review?ring_type=1","444","0.09","93.00","0.18","158","[100,82,100,82,82,82,100,82,67,82,82,82]","2026-08-17","Sitelinks, Image, Short videos, People also ask, Twitter","informational","Organic"
"maison verte","7","7","14800","45","0.06","https://www.weddingpark.net/00002121/map/","444","0.09","26.00","0.05","168","[67,67,55,55,55,82,82,67,82,82,100,82]","2026-08-14","Video, Short videos, Local pack, Twitter","commercial","Organic"
"レガート","7","0","14800","48","0.95","https://www.weddingpark.net/00000d2d/map/","444","0.09","421.00","0.01","126","[82,82,82,82,100,82,100,100,100,100,100,100]","2026-08-18","AI overview, Image, Video, Video Carousel, Short videos, People also ask, Local pack, Twitter","informational","Organic"
"結婚 指輪 10 万 以下","1","1","880","15","1.02","https://ringraph.weddingpark.net/mrg/pr9","413","0.08","421.00","0.99","156","[72,72,88,72,72,88,88,100,72,88,72,88]","2026-07-18","Sitelinks, AI overview, Image, Video, Short videos, People also ask, Twitter","commercial","Organic"
"ウェーブ 結婚 指輪","1","1","880","16","0.93","https://ringraph.weddingpark.net/mrg/d6","413","0.08","384.00","0.99","153","[100,88,100,88,88,88,88,100,88,88,88,88]","2026-07-08","Sitelinks, Image, Video, Short videos, People also ask, Feature_34","commercial","Organic"
"結婚 指輪 v 字","1","1","880","15","1.00","https://ringraph.weddingpark.net/mrg/d6","413","0.08","413.00","0.98","156","[88,100,88,88,72,72,100,88,88,72,88,88]","2026-07-22","Sitelinks, AI overview, Image, Video, Short videos, People also ask","commercial","Organic"
"結婚 指輪 大阪","1","1","880","21","1.98","https://ringraph.weddingpark.net/area/osaka","413","0.08","817.00","0.86","118","[100,100,88,88,88,72,72,88,72,88,72,72]","2026-07-09","Sitelinks, Video, Short videos, People also ask, Local pack","commercial","Organic"
"結婚 指輪 手作り","3","3","8100","62","0.97","https://ringraph.weddingpark.net/ranking/mrg/4","405","0.08","392.00","0.77","205","[100,100,100,82,82,82,100,67,82,67,82,82]","2026-08-16","Sitelinks, AI overview, Image, Video, Short videos, People also ask, Local pack, Twitter","informational","Organic"
"ショーメ 指輪","4","4","8100","25","0.09","https://ringraph.weddingpark.net/brand/b300138/review?ring_type=2","405","0.08","36.00","0.78","169","[100,67,100,82,82,100,100,82,67,67,67,67]","2026-08-13","Sitelinks, Image, Image pack, Short videos, People also ask, Twitter, Feature_34","navigational, transactional","Organic"
"ご 自愛 ください 使い方","4","5","8100","23","0.02","https://www.weddingpark.net/magazine/6547/","405","0.08","8.00","0.05","113","[67,55,45,45,55,100,67,45,30,36,24,36]","2026-08-19","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
"結婚 式 相場","4","4","8100","24","0.49","https://www.weddingpark.net/estimate/hint/","405","0.08","198.00","0.26","126","[82,82,100,100,100,82,100,82,82,82,100,82]","2026-08-18","AI overview, Image pack, Video, Short videos, People also ask","informational","Organic"
"横浜 迎賓館","2","2","22200","32","2.52","https://www.weddingpark.net/000006c2/","399","0.08","1005.00","0.04","143","[55,67,67,82,100,82,82,100,82,82,100,67]","2026-08-17","Sitelinks, Image, Video, Short videos, People also ask, Knowledge panel, Twitter","navigational","Organic"
"ハリー ウィンストン 結婚 指輪","4","4","49500","38","0.71","https://ringraph.weddingpark.net/brand/b300090/review?ring_type=2","396","0.08","281.00","0.32","165","[82,82,82,67,82,82,100,67,67,67,82,67]","2026-08-15","Sitelinks, AI overview, Image, Image pack, Short videos, People also ask, Twitter, Feature_34","commercial, informational","Organic"
"グラフ リング","3","3","4400","20","0.56","https://ringraph.weddingpark.net/brand/b300131","396","0.08","221.00","0.99","195","[54,54,67,67,67,81,100,100,81,81,81,81]","2026-07-05","Sitelinks, Ads top, Image, Video, Short videos, People also ask, Ads bottom, Twitter, Feature_34","commercial","Organic"
"ティファニー 結婚指輪","5","5","49500","49","0.88","https://ringraph.weddingpark.net/brand/b300088/review","396","0.08","348.00","0.58","166","[82,82,82,82,82,82,100,67,67,67,82,82]","2026-08-17","Sitelinks, Short videos, People also ask, Twitter, Feature_34","navigational, transactional","Organic"
