"Keyword","Position","Previous position","Search Volume","Keyword Difficulty","CPC","URL","Traffic","Traffic (%)","Traffic Cost","Competition","Number of Results","Trends","Timestamp","SERP Features by Keyword","Keyword Intents","Position Type"
"mejuri sia birthstone pendant necklace","10","10","14800","22","1.02","https://loverly.com/shop/sia-birthstone-pendant-necklace-18k-gold-vermeil","74","0.44","75.00","0.89","156","[0,100,0,0,0,0,0,3,0,0,10,10]","2026-08-17","Sitelinks, Short videos, Knowledge panel, Twitter","navigational","Organic"
"wedding photographers","36","36","14800","48","2.44","https://loverly.com/vendors/wedding-photographer","4","0.02","9.00","0.24","163","[66,54,36,100,54,66,54,54,44,54,66,29]","2026-08-20","Video, Short videos, People also ask, Local pack, Twitter","transactional","Organic"
"wedding photographers","19","22","14800","48","2.44","https://loverly.com/vendors/maryland-wedding-photographer","22","0.13","53.00","0.24","163","[66,54,36,100,54,66,54,54,44,54,66,29]","2026-08-20","Video, Short videos, People also ask, Local pack, Twitter","transactional","Organic"
"destination wedding wedding","30","30","14800","27","2.09","https://loverly.com/planning/travel/unique-destination-wedding","10","0.05","20.00","0.41","133","[36,0,3,29,44,54,67,100,67,54,54,29]","2026-08-16","Sitelinks, AI overview, Image pack, Video, Short videos, People also ask, Local pack","informational","Organic"
"francesca farago","30","30","14800","54","0.00","https://loverly.com/planning/celebrity/francesca-farago-new-mom","4","0.02","0.00","0.33","105","[7,7,7,4,4,4,2,4,4,4,4,4]","2026-08-14","Image, Video, Short videos, People also ask, Knowledge panel, Top stories, Related searches","informational","Organic"
"venues for wedding party","11","11","14800","50","1.59","https://loverly.com/planning/wedding-101/best-wedding-venues-in-the-us-2024-2025","74","0.44","117.00","0.14","226","[44,0,4,36,66,66,54,66,54,100,66,36]","2026-08-13","Video, Short videos, People also ask, Local pack, Twitter","commercial","Organic"
"venues for wedding party","9","9","14800","50","1.59","https://loverly.com/planning/wedding-101/best-wedding-venues-in-the-us-2024-2025","192","1.14","305.00","0.14","226","[44,0,4,36,66,66,54,66,54,100,66,36]","2026-08-13","Video, Short videos, People also ask, Local pack, Twitter","commercial","Organic"
"suitshop","7","7","14800","35","1.12","https://loverly.com/vendors/suitshop","74","0.44","82.00","1","136","[44,36,44,36,54,44,36,66,66,81,81,100]","2026-08-14","Sitelinks, Video, Short videos, People also ask, Local pack, Knowledge panel, Twitter","navigational","Organic"
"makeup artist","21","21","14800","44","1.20","https://loverly.com/vendors/houston-hair-makeup-artist","10","0.05","12.00","0.15","484000000","[54,54,36,66,66,54,36,44,36,54,81,54]","2026-08-15","Image pack, Video, Short videos, People also ask, Discussions and forums, Local pack, Twitter","commercial","Organic"
"makeup artist","17","17","14800","44","1.20","https://loverly.com/vendors/houston-hair-makeup-artist","22","0.13","26.00","0.15","484000000","[54,54,36,66,66,54,36,44,36,54,81,54]","2026-08-15","Image pack, Video, Short videos, People also ask, Discussions and forums, Local pack, Twitter","commercial","Organic"
"westbury manor catering hall","38","38","12100","39","1.21","https://loverly.com/vendors/westbury-manor","0","0","0.00","0.04","100","[100,81,81,81,81,81,66,66,54,81,81,66]","2026-08-14","Sitelinks, Video, Short videos, People also ask, Knowledge panel, Twitter","navigational, transactional","Organic"
"wedding photographer","93","93","12100","65","2.44","https://loverly.com/vendors/maryland-wedding-photographer","0","0","0.00","0.24","140000000","[66,66,81,54,36,100,54,66,54,44,66,66]","2026-08-17","Video, Short videos, People also ask, Discussions and forums, Local pack, Twitter","commercial","Organic"
"birdie grey","11","11","12100","50","0.67","https://loverly.com/planning/fashion/birdy-grey","9","0.05","6.00","1","0","[44,44,66,54,54,81,44,100,100,66,81,66]","2026-08-14","Sitelinks, Ads top, Video, Short videos, People also ask, Knowledge panel, Related searches, Ads bottom, Twitter","navigational","Organic"
"how to plan a wedding","48","48","12100","26","1.10","https://loverly.com/planning/wedding-101/simple-wedding-planning-guide","1","0","1.00","0.75","133","[5,7,5,10,16,16,16,20,16,30,30,24]","2026-08-17","AI overview, Image pack, Video, Video Carousel, Short videos, People also ask, Twitter","informational","Organic"
"wedding website","41","41","12100","55","3.17","https://loverly.com/","3","0.01","9.00","0.46","132","[54,81,54,66,44,44,24,66,44,66,54,81]","2026-08-17","Sitelinks, AI overview, Video, Short videos, People also ask, Twitter","commercial","Organic"
"crest hollow country club","41","41","12100","43","0.96","https://loverly.com/vendors/crest-hollow-country-club","0","0","0.00","0.06","115","[81,36,36,44,66,36,29,44,24,44,36,54]","2026-08-17","Sitelinks, Image, Image pack, Video, Short videos, People also ask, Knowledge panel, Twitter","navigational","Organic"
"best honeymoon destinations","73","75","12100","23","0.72","https://loverly.com/planning/travel/best-us-honeymoon-destinations","0","0","0.00","0.4","165","[54,54,44,44,44,44,44,54,36,44,36,36]","2026-08-19","Sitelinks, AI overview, Image, Video, Short videos, People also ask, Twitter","commercial","Organic"
"marriage planners","26","26","12100","37","2.23","https://loverly.com/vendors/wedding-planner","8","0.04","17.00","0.51","224","[0,0,3,0,20,30,54,100,0,0,0,0]","2026-08-15","Ads top, Image pack, Video, Short videos, People also ask, Local pack, Twitter","commercial","Organic"
"wedding organiser","5","5","12100","61","2.23","https://loverly.com/","266","1.58","593.00","0.51","197","[0,0,0,0,0,30,54,100,0,0,1,0]","2026-08-18","Sitelinks, Video, Short videos, People also ask, Discussions and forums, Local pack, Ads bottom, Twitter, Feature_34","commercial","Organic"
"revelry dresses","15","0","9900","49","0.34","https://loverly.com/vendors/revelry","5","0.02","1.00","1","0","[24,20,20,13,16,20,20,36,24,24,29,29]","2026-08-19","Sitelinks, Video, Short videos, People also ask, Twitter, Feature_34","navigational, transactional","Organic"
"birdygrey","11","11","9900","54","0.67","https://loverly.com/planning/fashion/birdy-grey","7","0.04","4.00","1","0","[24,44,29,29,29,36,13,44,66,44,44,36]","2026-08-16","Sitelinks, Video, Short videos, People also ask, Knowledge panel, Related searches, Twitter","navigational","Organic"
"wedding coordinator websites","58","58","9900","46","3.01","https://loverly.com/vendors/wedding-planner","0","0","0.00","0.47","133","[10,0,3,29,29,54,100,36,0,8,10,3]","2026-08-14","AI overview, Video, Short videos, People also ask, Ads bottom, Twitter","informational","Organic"
"wedding coordinator websites","3","3","9900","46","3.01","https://loverly.com/","435","2.59","1309.00","0.47","133","[10,0,3,29,29,54,100,36,0,8,10,3]","2026-08-14","AI overview, Video, Short videos, People also ask, Ads bottom, Twitter","informational","Organic"
"wedding coordinator websites","1","1","9900","46","3.01","https://loverly.com/","27","0.16","81.00","0.47","133","[10,0,3,29,29,54,100,36,0,8,10,3]","2026-08-14","AI overview, Video, Short videos, People also ask, Ads bottom, Twitter","informational","SERP Feature"
"how to write wedding vows","87","87","9900","17","0.26","https://loverly.com/planning/wedding-101/write-wedding-vows","0","0","0.00","0.22","135","[24,29,36,54,66,54,44,54,54,100,100,100]","2026-08-19","Sitelinks, AI overview, Video, Short videos, People also ask, Twitter","informational","Organic"
"how to write wedding vows","85","85","9900","17","0.26","https://loverly.com/planning/wedding-101/write-wedding-vows","0","0","0.00","0.22","135","[24,29,36,54,66,54,44,54,54,100,100,100]","2026-08-19","Sitelinks, AI overview, Video, Short videos, People also ask, Twitter","informational","Organic"
"birdie gray","14","14","9900","45","0.79","https://loverly.com/planning/fashion/birdy-grey","5","0.02","3.00","0.73","0","[54,54,66,54,66,66,54,100,81,100,100,100]","2026-08-14","Sitelinks, Video, Short videos, People also ask, Knowledge panel, Twitter, Google Flights, Feature_34","navigational","Organic"
"park and fifth","9","9","9900","33","0.70","https://loverly.com/vendors/park-fifth","9","0.05","6.00","1","154","[66,66,44,36,29,44,36,100,81,66,66,81]","2026-08-15","Sitelinks, Ads top, Image pack, Video, Short videos, Discussions and forums, Knowledge panel","navigational","Organic"
"park and fifth","4","4","9900","33","0.70","https://loverly.com/vendors/park-fifth","138","0.82","96.00","1","154","[66,66,44,36,29,44,36,100,81,66,66,81]","2026-08-15","Sitelinks, Ads top, Image pack, Video, Short videos, Discussions and forums, Knowledge panel","navigational","Organic"
"get ordained online","34","34","9900","40","1.51","https://loverly.com/planning/wedding-101/becoming-ordained-online-a-comprehensive-guide","1","0","1.00","0.68","136","[81,66,66,81,66,66,81,100,66,81,100,81]","2026-08-17","Sitelinks, AI overview, Video, Short videos, People also ask","navigational, transactional","Organic"
"the legacy castle","29","31","9900","49","0.52","https://loverly.com/vendors/the-legacy-castle","1","0","0.00","0.04","132","[54,54,54,54,66,54,29,29,29,44,44,81]","2026-08-19","Sitelinks, Image, Image pack, Video, Short videos, People also ask, Knowledge panel, Related searches, Twitter","navigational","Organic"
"bebeautiful.com","23","23","9900","48","1.91","https://loverly.com/vendors/be-beautiful-brides","14","0.08","26.00","0.33","26000000","[0,0,0,0,0,0,81,0,81,100,100,54]","2026-08-14","Sitelinks, AI overview, Video, People also ask, Twitter","informational","Organic"
"ordained minister online","44","44","9900","26","1.57","https://loverly.com/planning/wedding-101/becoming-ordained-online-a-comprehensive-guide","2","0.01","3.00","0.71","134","[66,66,66,81,66,66,81,81,66,81,100,81]","2026-08-19","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
"wedding dress designers","39","39","9900","55","0.70","https://loverly.com/vendors/new-york-wedding-dress-designer","2","0.01","1.00","1","203","[54,100,36,66,81,54,36,44,19,29,16,24]","2026-08-15","Sitelinks, AI overview, Image, Video, Short videos, People also ask, Local pack, Twitter","commercial, informational","Organic"
"wedding dress designers","38","38","9900","55","0.70","https://loverly.com/vendors/new-york-wedding-dress-designer","2","0.01","1.00","1","203","[54,100,36,66,81,54,36,44,19,29,16,24]","2026-08-15","Sitelinks, AI overview, Image, Video, Short videos, People also ask, Local pack, Twitter","commercial, informational","Organic"
"destination weddings","56","56","9900","51","2.09","https://loverly.com/planning/wedding-101/best-destination-wedding-venues","0","0","0.00","0.41","136","[66,100,54,36,54,44,81,54,44,29,29,29]","2026-08-13","Sitelinks, AI overview, Video, Short videos, People also ask, Knowledge panel, Twitter","informational","Organic"
"bride and shower","8","8","9900","42","0.28","https://loverly.com/planning/wedding-101/10-ways-throw-wedding-shower-cheap","0","0","0.00","0.41","203","[0,0,3,44,44,54,1,44,67,81,0,0]","2026-08-15","Sitelinks, AI overview, Image, Image pack, Video, Short videos, People also ask, Discussions and forums","informational","SERP Feature"
"groomsman","41","41","9900","34","3.53","https://loverly.com/planning/wedding-101/the-basics-of-being-a-groomsman","2","0.01","7.00","0.12","129","[81,81,66,81,66,54,36,54,54,54,54,54]","2026-08-16","Sitelinks, AI overview, Video, Short videos, People also ask, Discussions and forums","informational","Organic"
"bedsurely","25","25","9900","50","4.27","https://loverly.com/shop/duvet-cover","14","0.08","59.00","1","133","[0,0,0,0,54,81,100,66,44,54,44,36]","2026-08-17","Sitelinks, AI overview, Video, Short videos, Twitter","commercial, informational","Organic"
"maggie sottero","26","26","8100","20","1.26","https://loverly.com/planning/fashion/maggie-sottero-wedding-dresses","1","0","1.00","0.35","0","[36,36,36,44,44,44,44,81,54,54,54,54]","2026-08-15","Sitelinks, Ads top, Image, Video, Short videos, People also ask, Twitter, Google Flights, Feature_34","navigational","Organic"
"westbury manor","39","39","8100","44","1.21","https://loverly.com/vendors/westbury-manor","0","0","0.00","0.04","108","[66,54,44,81,66,81,66,81,54,54,66,81]","2026-08-19","Sitelinks, Image pack, Video, Short videos, People also ask, Knowledge panel, Related searches, Twitter","navigational, transactional","Organic"
"the rockleigh","26","26","8100","32","2.15","https://loverly.com/vendors/the-rockleigh-8","1","0","2.00","0.05","124","[54,66,81,66,66,54,66,29,44,66,54,100]","2026-08-13","Sitelinks, Image, Video, Short videos, People also ask, Discussions and forums, Knowledge panel, Twitter","navigational","Organic"
"wedding transportation","54","54","8100","30","3.25","https://loverly.com/vendors/transport","0","0","0.00","0.37","165","[81,100,66,29,36,36,36,19,19,24,100,81]","2026-08-15","Image, Image pack, Video, Short videos, People also ask, Local pack, Twitter","transactional","Organic"
"cedar lakes estate","21","21","8100","43","1.64","https://loverly.com/vendors/cedar-lakes-estate","1","0","1.00","0.02","107","[66,81,66,44,66,66,54,54,54,44,54,66]","2026-08-14","Sitelinks, Image, Video, Short videos, People also ask, Knowledge panel, Related searches, Twitter","navigational","Organic"
"wedding reception venues","11","11","8100","48","1.59","https://loverly.com/planning/wedding-101/best-wedding-venues-in-the-us-2024-2025","40","0.23","63.00","0.14","166","[81,100,36,36,29,29,36,44,29,81,36,36]","2026-08-13","Image, Video, Short videos, People also ask, Local pack, Twitter","commercial","Organic"
"djs near me","50","31","8100","52","2.11","https://loverly.com/vendors/djs","0","0","0.00","0.43","1560000000","[24,36,54,44,29,24,19,36,54,29,29,36]","2026-08-19","Sitelinks, Video, Short videos, People also ask, Local pack, Twitter","transactional","Organic"
"djs near me","21","31","8100","52","2.11","https://loverly.com/vendors/djs","12","0.07","25.00","0.43","1560000000","[24,36,54,44,29,24,19,36,54,29,29,36]","2026-08-19","Sitelinks, Video, Short videos, People also ask, Local pack, Twitter","transactional","Organic"
"vowd","21","21","8100","36","1.08","https://loverly.com/vendors/vowd-weddings","2","0.01","2.00","0.35","136","[66,66,66,66,66,66,66,100,81,81,66,100]","2026-08-14","Sitelinks, Image, Video, Short videos, People also ask, Local pack, Knowledge panel, Twitter","navigational","Organic"
"maggie sottero maggie","15","15","8100","19","1.26","https://loverly.com/planning/fashion/maggie-sottero-wedding-dresses","2","0.01","2.00","0.35","0","[54,0,3,44,66,81,66,100,66,81,66,36]","2026-08-16","Sitelinks, Image pack, Video, Video Carousel, Short videos, People also ask, Twitter, Google Flights, Feature_34","informational, navigational","Organic"
"wedding planning websites","4","4","8100","67","3.01","https://loverly.com/","356","2.11","1071.00","0.47","131","[16,100,54,44,54,29,29,36,19,10,13,8]","2026-08-16","Sitelinks, AI overview, Video, Short videos, People also ask, Twitter, Google Flights","informational","Organic"
"bridal shower themes","24","25","8100","21","0.18","https://loverly.com/planning/ideas/20-creative-wedding-shower-themes-ideas","12","0.07","2.00","1","200","[54,44,44,44,29,24,29,81,44,54,54,54]","2026-08-19","Sitelinks, AI overview, Image, Video, Short videos, People also ask","informational","Organic"
"online ordained minister","45","0","6600","33","1.57","https://loverly.com/planning/wedding-101/becoming-ordained-online-a-comprehensive-guide","0","0","0.00","0.71","136","[66,66,66,100,66,81,100,100,66,81,100,81]","2026-08-19","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
"james allen rings","9","9","6600","27","4.03","https://loverly.com/planning/fashion/everything-you-need-to-know-about-james-allen","23","0.13","92.00","1","175","[24,29,24,19,29,24,36,19,16,24,13,19]","2026-08-19","Sitelinks, AI overview, Image, Video, Short videos, People also ask, Discussions and forums, Twitter","informational","SERP Feature"
"wedding themes","40","40","6600","21","1.07","https://loverly.com/planning/ideas/wedding-themes","1","0","1.00","0.25","196","[36,36,29,44,29,24,24,44,24,44,36,36]","2026-08-14","AI overview, Image, Video, Short videos, People also ask, Twitter","informational","Organic"
"meshedupproductions.com services","61","44","6600","9","0.00","https://loverly.com/vendors/austin-entertainment","0","0","0.00","0","1660","[24,100]","2026-08-19","Sitelinks, AI overview, Video, Short videos, Twitter","informational","Organic"
"moustache kids peak lapel trim wool suit","19","19","6600","0","0.00","https://loverly.com/shop/black-peak-lapel-suit","9","0.05","0.00","0","183","[100,100]","2026-08-15","Sitelinks, AI overview, Short videos, Feature_34","informational","Organic"
"maggie sottero wedding dresses","19","19","6600","21","0.34","https://loverly.com/planning/fashion/maggie-sottero-wedding-dresses","1","0","0.00","0.24","243","[54,54,44,44,44,44,29,54,54,66,36,100]","2026-08-16","Sitelinks, Image, Image pack, Video, Short videos, People also ask, Local pack, Twitter, Feature_34","commercial, navigational","Organic"
"wedding officiant near me","83","83","6600","50","1.38","https://loverly.com/vendors/wedding-officiant","0","0","0.00","0.54","7540000","[66,54,44,44,54,24,29,29,24,24,44,44]","2026-08-16","Video, Short videos, People also ask, Local pack, Twitter","transactional","Organic"
"wychmere beach club","45","45","6600","50","0.75","https://loverly.com/vendors/wychmere-beach-club","0","0","0.00","0.19","108","[66,100,100,36,44,19,16,24,24,29,36,54]","2026-08-17","Sitelinks, Image, Video, Short videos, People also ask, Local pack, Twitter","navigational","Organic"
"website wedding organizer","74","74","6600","73","3.01","https://loverly.com/vendors/wedding-planner","0","0","0.00","0.47","192","[16,0,7,66,29,81,100,36,24,8,10,0]","2026-08-15","Sitelinks, AI overview, Video, Short videos, People also ask, Ads bottom, Twitter, Google Flights","informational","Organic"
"website wedding organizer","73","73","6600","73","3.01","https://loverly.com/vendors/wedding-planner","0","0","0.00","0.47","192","[16,0,7,66,29,81,100,36,24,8,10,0]","2026-08-15","Sitelinks, AI overview, Video, Short videos, People also ask, Ads bottom, Twitter, Google Flights","informational","Organic"
"website wedding organizer","5","5","6600","73","3.01","https://loverly.com/","158","0.94","475.00","0.47","192","[16,0,7,66,29,81,100,36,24,8,10,0]","2026-08-15","Sitelinks, AI overview, Video, Short videos, People also ask, Ads bottom, Twitter, Google Flights","informational","Organic"
"ordained online","27","27","6600","31","1.39","https://loverly.com/planning/wedding-101/becoming-ordained-online-a-comprehensive-guide","0","0","0.00","0.35","136","[100,66,66,100,81,81,100,100,81,81,100,81]","2026-08-16","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
"wedding planners","22","22","6600","32","1.92","https://loverly.com/vendors/wedding-planner","4","0.02","7.00","0.55","36800000","[36,44,54,36,19,19,24,24,19,44,44,36]","2026-08-15","AI overview, Video, Short videos, People also ask, Discussions and forums, Local pack, Twitter","commercial","Organic"
"wedding planners","9","9","6600","32","1.92","https://loverly.com/planning/wedding-101/hiring-wedding-planner","0","0","0.00","0.55","36800000","[36,44,54,36,19,19,24,24,19,44,44,36]","2026-08-15","AI overview, Video, Short videos, People also ask, Discussions and forums, Local pack, Twitter","commercial","SERP Feature"
"wedding registry search","56","56","6600","66","0.24","https://loverly.com/registry","0","0","0.00","0.3","134","[54,66,66,81,66,44,44,81,54,66,100,81]","2026-08-13","Sitelinks, AI overview, Video, Short videos, People also ask, Twitter","informational","Organic"
"dfntly","66","0","6600","29","0.79","https://loverly.com/vendors/dallas-entertainment","0","0","0.00","0.95","0","[0,0,0,44,0,0,0,100,0,1,0,0]","2026-08-20","Sitelinks, Video, Knowledge panel, Twitter","navigational","Organic"
"dfntly","56","52","6600","29","0.79","https://loverly.com/vendors/texas-djs","0","0","0.00","0.95","0","[0,0,0,44,0,0,0,100,0,1,0,0]","2026-08-20","Sitelinks, Video, Knowledge panel, Twitter","navigational","Organic"
"dfntly","30","28","6600","29","0.79","https://loverly.com/vendors/austin-entertainment","0","0","0.00","0.95","0","[0,0,0,44,0,0,0,100,0,1,0,0]","2026-08-20","Sitelinks, Video, Knowledge panel, Twitter","navigational","Organic"
"getting ordained online","41","41","6600","49","1.46","https://loverly.com/planning/wedding-101/becoming-ordained-online-a-comprehensive-guide","1","0","1.00","0.68","136","[100,66,66,100,66,66,81,100,66,81,100,81]","2026-08-13","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
"getting ordained online","39","39","6600","49","1.46","https://loverly.com/planning/wedding-101/becoming-ordained-online-a-comprehensive-guide","1","0","1.00","0.68","136","[100,66,66,100,66,66,81,100,66,81,100,81]","2026-08-13","Sitelinks, AI overview, Video, Short videos, People also ask","informational","Organic"
