"Keyword","Position","Previous position","Search Volume","Keyword Difficulty","CPC","URL","Traffic","Traffic (%)","Traffic Cost","Competition","Number of Results","Trends","Timestamp","SERP Features by Keyword","Keyword Intents","Position Type"
"wedding management","1","1","22200","72","2.23","https://planning.wedding/","976","0.72","2176.00","0.51","178000000","[0,0,0,0,0,30,54,100,36,66,44,36]","2026-08-05","AI overview, Video, Video Carousel, Short videos, People also ask, Discussions and forums, Local pack, Twitter","commercial","Organic"
"how to plan a wedding","1","1","12100","26","1.10","https://planning.wedding/","735","0.54","808.00","0.75","129","[5,7,5,10,16,16,16,20,16,30,30,24]","2026-08-09","AI overview, Image pack, Video, Video Carousel, Short videos, People also ask, Twitter, Google Flights","informational","SERP Feature"
"wedding seating chart template","1","1","2900","35","1.30","https://planning.wedding/seating-chart","719","0.53","934.00","1","204","[81,81,100,66,44,29,35,35,35,44,44,53]","2026-08-07","Sitelinks, Image, Image pack, Video, Short videos, People also ask, Twitter","informational","Organic"
"wedding planner","1","1","40500","62","2.23","https://planning.wedding/","644","0.47","1436.00","0.51","55200000","[44,100,36,13,30,13,20,16,16,16,13,20]","2026-08-06","Sitelinks, AI overview, Video, Short videos, People also ask, Discussions and forums, Local pack, Ads bottom, Twitter, Google Flights, Feature_34","commercial","SERP Feature"
"wedding coordinator websites","2","2","9900","44","3.01","https://planning.wedding/","643","0.47","1935.00","0.47","132","[10,0,3,29,29,54,100,36,0,8,10,3]","2026-08-07","AI overview, Video, Short videos, Twitter, Google Flights","informational","Organic"
"web wedding organizer","1","1","4400","65","3.01","https://planning.wedding/","580","0.43","1745.00","0.47","128","[19,0,7,54,54,100,1,1,1,2,0,0]","2026-08-06","Sitelinks, AI overview, Video, Short videos, People also ask, Ads bottom, Twitter","commercial, informational","Organic"
"marriage planners","1","1","12100","36","2.23","https://planning.wedding/","532","0.39","1186.00","0.51","227","[0,0,3,0,20,30,54,100,0,0,0,0]","2026-08-08","Sitelinks, Image pack, Video, Short videos, People also ask, Local pack, Twitter","transactional","Organic"
"wedding plan","1","1","3600","34","2.23","https://planning.wedding/","475","0.35","1059.00","0.51","127","[29,54,19,10,1,3,2,4,13,2,13,5]","2026-08-07","AI overview, Image pack, Video, Video Carousel, Short videos, People also ask, Local pack","informational","Organic"
"plan wedding","1","1","1600","17","2.42","https://planning.wedding/","396","0.29","958.00","0.43","123","[5,54,100,29,0,0,5,19,12,0,1,1]","2026-07-22","Image pack, Video, Short videos, People also ask, Discussions and forums, Local pack, Twitter","informational","Organic"
"plan for wedding","1","1","1600","27","2.42","https://planning.wedding/","396","0.29","958.00","0.43","195","[16,66,100,13,3,0,0,0,0,0,0,0]","2026-07-22","Image, Video, Video Carousel, Short videos, People also ask, Discussions and forums, Twitter","informational","Organic"
"wedding planner wedding","1","1","1600","60","2.23","https://planning.wedding/","396","0.29","883.00","0.51","228","[1,0,4,1,100,0,5,12,0,16,3,2]","2026-08-09","Sitelinks, Video, Video Carousel, Short videos, People also ask, Local pack, Ads bottom, Google Flights","commercial","Organic"
"wedding planning tools for wedding planners","1","1","2900","27","3.05","https://planning.wedding/","382","0.28","1165.00","0.14","140","[2,0,8,100,54,0,3,13,3,2,3,5]","2026-08-06","Sitelinks, AI overview, Video, Short videos, People also ask, Twitter, Google Flights","informational","Organic"
"marriage planner website","1","1","1300","79","2.88","https://planning.wedding/","322","0.23","927.00","0.37","47","[29,66,1,0,0,0,0,0,0,100,0,0]","2026-07-15","AI overview, Ads top, Video, Short videos, Ads bottom","commercial","Organic"
"website wedding planner","1","1","1300","65","2.88","https://planning.wedding/","322","0.23","927.00","0.37","126","[4,5,100,36,15,10,8,24,3,0,0,3]","2026-07-26","Sitelinks, AI overview, Video, Short videos, Twitter, Google Flights","commercial","Organic"
"seating chart template wedding","1","1","1300","46","1.14","https://planning.wedding/seating-chart","322","0.23","367.00","1","68","[66,66,79,100,79,54,24,24,24,24,36,41]","2026-07-18","Sitelinks, Image, Image pack, Video, Short videos, Twitter","informational","Organic"
"the planner wedding","3","3","3600","65","1.22","https://planning.wedding/","295","0.21","359.00","0.33","150","[0,0,0,44,0,0,0,100,0,0,0,0]","2026-08-05","Sitelinks, Video, Short videos, Local pack, Twitter, Google Flights","commercial","Organic"
"red wedding frock","1","1","6600","18","0.51","https://planning.wedding/colored-wedding-dresses/red-wedding-dress","272","0.2","138.00","1","291","[44,0,2,36,44,54,36,36,36,29,36,0]","2026-08-05","Sitelinks, AI overview, Image, Image pack, Video, Video Carousel, Short videos, Feature_34","commercial, informational","SERP Feature"
"wedding frock red","1","1","6600","18","0.51","https://planning.wedding/colored-wedding-dresses/red-wedding-dress","272","0.2","138.00","1","272","[0,0,0,66,81,100,66,66,66,54,66,44]","2026-08-10","Sitelinks, AI overview, Image, Image pack, Video, Video Carousel, Short videos, Feature_34","commercial, informational","SERP Feature"
"wedding assistant","1","1","320","32","1.78","https://planning.wedding/","256","0.19","455.00","0.07","69","[82,82,100,100,100,100,66,43,66,66,43,66]","2026-07-16","Sitelinks, Video, Short videos, People also ask, Knowledge panel, Twitter","navigational","Organic"
"planning wedding","1","1","1900","30","2.23","https://planning.wedding/","250","0.18","557.00","0.51","118","[66,100,100,43,13,1,0,0,28,0,10,2]","2026-08-05","AI overview, Video, Video Carousel, Short videos, People also ask, Related searches, Twitter","informational","Organic"
"wedding planner website","1","1","1900","60","3.01","https://planning.wedding/","250","0.18","752.00","0.47","131","[13,100,54,28,43,15,36,19,36,13,7,5]","2026-08-05","Sitelinks, AI overview, Video, Short videos, Twitter","commercial, informational","Organic"
"website wedding organizer","2","2","6600","73","3.01","https://planning.wedding/","231","0.17","695.00","0.47","50300000","[16,0,7,66,29,81,100,36,24,8,10,0]","2026-08-08","Sitelinks, AI overview, Video, Short videos, Ads bottom, Twitter, Google Flights","informational","Organic"
"sample wedding seating chart template","1","1","880","47","1.14","https://planning.wedding/seating-chart","218","0.16","248.00","1","169","[5,10,2,7,4,100,4,3,54,79,100,100]","2026-07-04","Sitelinks, Video, Video Carousel, Short videos, Twitter, Feature_34","commercial","Organic"
"wedding dress pink colour","1","1","9900","15","0.58","https://planning.wedding/colored-wedding-dresses/pink-wedding-dress","217","0.16","125.00","1","237","[44,0,2,44,54,54,44,66,54,54,66,24]","2026-08-08","Sitelinks, Image, Image pack, Video, Short videos, Feature_34","informational","SERP Feature"
"how to plan a wedding as a wedding planner","1","1","2400","27","1.10","https://planning.wedding/","196","0.14","215.00","0.75","183","[66,1,16,29,44,53,44,44,44,53,66,35]","2026-08-08","Sitelinks, AI overview, Video, Short videos, People also ask, Google Flights","informational","Organic"
"best wedding planning tools","3","3","2900","29","4.49","https://planning.wedding/","188","0.13","844.00","0.99","200","[1,0,0,19,36,43,36,43,36,100,100,81]","2026-08-06","Sitelinks, AI overview, Video, Short videos, Related searches, Feature_34","commercial","Organic"
"online wedding planner","1","1","720","59","3.23","https://planning.wedding/","178","0.13","574.00","0.74","133","[67,67,100,100,81,81,81,67,81,67,67,54]","2026-08-01","Sitelinks, AI overview, Video, Video Carousel, Short videos, Twitter, Google Flights","informational","Organic"
"planning.wedding","1","1","720","22","2.23","https://planning.wedding/","178","0.13","396.00","0.51","733000000","[7,0,0,0,81,100,0,0,0,0,0,0]","2026-08-03","Sitelinks, AI overview, Video, Video Carousel, People also ask, Twitter","informational","Organic"
"wedding planning tools for wedding planners","1","1","2900","27","3.05","https://planning.wedding/","176","0.13","536.00","0.14","140","[2,0,8,100,54,0,3,13,3,2,3,5]","2026-08-06","Sitelinks, AI overview, Video, Short videos, People also ask, Twitter, Google Flights","informational","SERP Feature"
"wedding planning assistant","1","1","210","21","1.53","https://planning.wedding/","168","0.12","257.00","0.08","121","[53,66,43,53,100,53,35,43,23,43,28,66]","2026-07-10","Sitelinks, Image pack, Short videos, People also ask, Knowledge panel","navigational","Organic"
"wedding plans","2","2","2400","61","2.23","https://planning.wedding/","156","0.11","347.00","0.51","185","[81,100,44,5,5,5,5,2,4,3,4,13]","2026-08-06","AI overview, Image, Image pack, Video, Video Carousel, Short videos, People also ask, Discussions and forums, Twitter","informational","Organic"
"wedding management website","1","1","1900","48","3.01","https://planning.wedding/","155","0.11","466.00","0.47","131","[3,0,13,100,2,2,3,54,0,2,4,0]","2026-08-06","Sitelinks, AI overview, Video, Short videos, Twitter","informational","Organic"
"wedding seating plan tool","1","1","590","38","1.01","https://planning.wedding/seating-chart","146","0.1","147.00","0.35","199","[36,36,6,45,100,30,100,6,30,0,45,20]","2026-06-26","Sitelinks, Image, Image pack, Video, Short videos, Twitter, Feature_34","informational","Organic"
"wedding table seating chart","1","1","590","49","0.95","https://planning.wedding/seating-chart","146","0.1","138.00","1","200","[37,20,46,31,52,25,20,13,20,20,31,31]","2026-07-25","Sitelinks, Image, Image pack, Video, Short videos, People also ask, Twitter, Feature_34","informational","Organic"
"wedding reception seating arrangement","1","1","590","44","0.83","https://planning.wedding/seating-chart","146","0.1","121.00","1","196","[48,72,72,88,100,59,48,26,48,48,48,48]","2026-07-14","Sitelinks, AI overview, Image, Image pack, Video, Video Carousel, Short videos, Twitter","informational","Organic"
"how to plan a wedding timeline","25","25","90500","15","1.17","https://planning.wedding/","135","0.1","157.00","0.44","138","[0,0,0,8,2,4,20,36,100,54,54,16]","2026-08-07","Sitelinks, AI overview, Image pack, Video, Short videos, People also ask, Twitter","informational","Organic"
"wedding seating chart templates","2","2","1600","50","0.95","https://planning.wedding/seating-chart","131","0.09","124.00","0.3","194","[30,41,41,79,100,79,54,36,66,66,100,54]","2026-07-22","Sitelinks, Image, Image pack, Video, Short videos, Related searches, Twitter, Feature_34","informational","Organic"
"how to plan a wedding reception","3","3","1900","36","1.39","https://planning.wedding/","123","0.09","170.00","0.66","166","[2,3,2,29,54,65,54,1,36,100,81,54]","2026-08-09","Sitelinks, AI overview, Video, Short videos, People also ask, Twitter","informational","Organic"
"weddingplanner","1","1","480","49","2.23","https://planning.wedding/","119","0.08","265.00","0.51","134","[3,2,54,100,2,1,20,0,20,16,0,20]","2026-08-08","Sitelinks, Video, Short videos, People also ask, Discussions and forums, Local pack, Ads bottom, Twitter, Google Flights","commercial","Organic"
"wedding planner online","1","1","480","65","3.08","https://planning.wedding/","119","0.08","366.00","0.81","131","[32,48,48,48,48,48,48,100,48,48,39,59]","2026-08-09","Sitelinks, Video, Video Carousel, Short videos, People also ask, Twitter, Google Flights","commercial","Organic"
"wedding reception seating chart","1","1","480","37","0.83","https://planning.wedding/seating-chart","119","0.08","98.00","1","198","[81,81,81,100,100,81,54,29,66,36,44,66]","2026-07-24","Sitelinks, AI overview, Image, Image pack, Video, Video Carousel, Short videos, Twitter","informational","Organic"
"wedding seating plan maker","1","1","480","44","0.94","https://planning.wedding/seating-chart","119","0.08","111.00","0.57","197","[100,20,16,5,24,100,76,5,6,8,30,8]","2026-06-19","Sitelinks, Image, Image pack, Video, Short videos, Twitter","commercial","Organic"
"seating arrangement wedding","1","1","480","44","0.95","https://planning.wedding/seating-chart","119","0.08","113.00","1","201","[0,0,1,3,4,2,4,1,3,4,19,3]","2026-07-29","Sitelinks, Image, Image pack, Video, Video Carousel, Short videos, People also ask, Twitter, Google Flights, Feature_34","informational","Organic"
"wedding reception seating plan","1","1","480","53","0.83","https://planning.wedding/seating-chart","119","0.08","98.00","1","201","[67,54,67,67,100,54,54,29,44,44,54,54]","2026-07-26","Sitelinks, Image, Image pack, Video, Video Carousel, Short videos, People also ask, Twitter","informational","Organic"
"table seating chart template","1","1","880","35","1.05","https://planning.wedding/seating-chart","116","0.08","121.00","1","83","[100,67,67,76,76,67,67,45,45,36,45,55]","2026-07-26","Sitelinks, Image, Image pack, Short videos, People also ask, Twitter","informational","Organic"
"free wedding planner","1","1","880","43","3.25","https://planning.wedding/","116","0.08","377.00","0.64","133","[72,72,100,100,88,88,72,72,100,72,72,72]","2026-07-22","Sitelinks, AI overview, Video, Short videos, Twitter, Google Flights","informational","Organic"
"wedding seating chart maker","2","2","880","43","1.02","https://planning.wedding/seating-chart","116","0.08","118.00","0.75","200","[62,81,62,62,45,55,30,24,62,55,62,62]","2026-07-21","Sitelinks, Image, Image pack, Video, Short videos, Twitter","informational","Organic"
"table seating chart","1","1","880","31","0.83","https://planning.wedding/seating-chart","116","0.08","96.00","1","204","[44,34,30,34,30,30,11,20,24,16,30,34]","2026-07-03","Sitelinks, Image, Image pack, Video, Video Carousel, Short videos, People also ask, Twitter, Feature_34","informational","Organic"
"wedding planning software","2","2","880","27","7.72","https://planning.wedding/","116","0.08","895.00","0.02","132","[16,5,10,13,10,8,10,8,10,8,10,100]","2026-06-28","Sitelinks, AI overview, Video, Short videos, People also ask, Twitter","informational","Organic"
"wedding coordinator tools","1","1","1900","21","3.05","https://planning.wedding/","115","0.08","350.00","0.14","200","[2,0,2,100,1,0,3,13,3,2,3,5]","2026-08-06","Sitelinks, AI overview, Video, Video Carousel, Short videos, People also ask, Twitter","informational","SERP Feature"
"ideas for seating plan","2","2","1300","54","0.44","https://planning.wedding/seating-chart","106","0.07","46.00","1","93","[100,84,4,37,84,68,52,31,68,52,68,84]","2026-07-18","Sitelinks, Image, Image pack, Short videos, People also ask, Twitter","informational","Organic"
"wedding floor plan","1","1","390","18","1.27","https://planning.wedding/seating-chart","96","0.07","121.00","0.18","133","[66,81,44,44,54,100,36,36,29,44,36,54]","2026-06-21","Sitelinks, Image, Image pack, Video, Video Carousel, Short videos, Ads bottom, Twitter","informational","Organic"
"wedding table layout","1","1","390","21","1.27","https://planning.wedding/seating-chart","96","0.07","121.00","1","197","[66,54,81,66,54,54,36,29,54,44,54,54]","2026-07-19","Sitelinks, AI overview, Image, Image pack, Video, Video Carousel, Short videos, Twitter, Feature_34","informational","Organic"
"create wedding seating chart","1","1","390","36","1.02","https://planning.wedding/seating-chart","96","0.07","97.00","0.75","208","[20,16,10,100,100,6,6,3,67,13,24,30]","2026-08-02","Sitelinks, Image, Image pack, Video, Short videos, Twitter","informational","Organic"
"online wedding organiser","1","1","390","63","3.23","https://planning.wedding/","96","0.07","310.00","0.74","43","[67,54,15,15,44,54,44,44,100,36,54,44]","2026-07-17","AI overview, Video, Short videos, Twitter","informational","Organic"
"wedding dress red colour","1","1","4400","18","0.51","https://planning.wedding/colored-wedding-dresses/red-wedding-dress","96","0.07","48.00","1","263","[100,0,3,54,54,36,44,13,81,54,54,36]","2026-08-09","Sitelinks, AI overview, Image, Image pack, Video, Video Carousel, Short videos, People also ask, Google Flights, Feature_34","informational","SERP Feature"
"wedding dress red colour","1","1","4400","18","0.51","https://planning.wedding/colored-wedding-dresses/red-wedding-dress","96","0.07","48.00","1","263","[100,0,3,54,54,36,44,13,81,54,54,36]","2026-08-09","Sitelinks, AI overview, Image, Image pack, Video, Video Carousel, Short videos, People also ask, Google Flights, Feature_34","informational","SERP Feature"
"online wedding management","1","1","390","51","3.23","https://planning.wedding/","96","0.07","310.00","0.74","127","[67,54,15,15,44,54,44,44,100,36,54,44]","2026-07-16","AI overview, Video, Video Carousel, Short videos, Twitter","informational","Organic"
"reception seating chart","1","1","390","41","0.83","https://planning.wedding/seating-chart","96","0.07","79.00","1","137","[81,54,81,100,66,66,66,28,54,54,66,66]","2026-08-01","Sitelinks, Image, Image pack, Video, Short videos, People also ask, Twitter","informational","Organic"
"wedding planning platform","1","1","390","40","7.65","https://planning.wedding/","96","0.07","734.00","0.33","194","[1,5,5,100,10,36,30,20,13,20,36,30]","2026-07-29","Sitelinks, AI overview, Video, Short videos, Twitter","informational","Organic"
"wedding planner web","1","1","390","63","2.88","https://planning.wedding/","96","0.07","276.00","0.37","129","[5,68,25,11,11,11,13,20,31,16,11,8]","2026-07-15","Image pack, Video, Short videos, Twitter","informational","Organic"
"weeding planner","1","1","390","56","2.42","https://planning.wedding/","96","0.07","232.00","0.43","95400000","[1,25,0,100,0,52,0,0,0,0,20,31]","2026-08-01","Sitelinks, Video, Short videos, People also ask, Discussions and forums, Local pack, Twitter, Feature_34","commercial","Organic"
"seating chart at a wedding","1","1","720","29","1.24","https://planning.wedding/seating-chart","95","0.07","117.00","1","203","[0,0,0,100,0,0,0,0,0,0,0,0]","2026-08-09","Sitelinks, AI overview, Image, Image pack, Video, Short videos, People also ask, Twitter","informational","Organic"
"plan for wedding reception","1","1","720","25","2.15","https://planning.wedding/seating-chart","95","0.07","204.00","0.16","207","[46,52,46,46,68,52,31,68,5,31,25,0]","2026-08-09","Sitelinks, AI overview, Video, Video Carousel, Short videos, People also ask, Twitter","informational","Organic"
"planner boda","1","1","720","29","0.00","https://planning.wedding/","95","0.07","0.00","0.01","200","[100,0,0,1,0,0,0,0,0,0,0,0]","2026-08-08","Sitelinks, AI overview, Image pack, Video, Video Carousel, Short videos, People also ask, Discussions and forums, Twitter, Feature_34","informational","Organic"
"planning boda","1","1","720","21","0.00","https://planning.wedding/","95","0.07","0.00","0.01","111","[100,0,0,0,0,0,0,0,0,0,0,0]","2026-08-02","Sitelinks, AI overview, Image pack, Video, Video Carousel, Short videos, People also ask, Ads bottom","informational","Organic"
"how to plan a wedding","6","6","12100","26","1.10","https://planning.wedding/","84","0.06","92.00","0.75","129","[5,7,5,10,16,16,16,20,16,30,30,24]","2026-08-09","AI overview, Image pack, Video, Video Carousel, Short videos, People also ask, Twitter, Google Flights","informational","Organic"
"wedding planer","1","1","1300","52","2.42","https://planning.wedding/","84","0.06","203.00","0.43","130000000","[8,81,100,54,16,1,1,0,2,10,36,54]","2026-07-23","Sitelinks, Video, Short videos, People also ask, Discussions and forums, Local pack, Twitter, Feature_34","commercial","Organic"
"wedding coordinator tools","2","2","1900","21","3.05","https://planning.wedding/","83","0.06","253.00","0.14","200","[2,0,2,100,1,0,3,13,3,2,3,5]","2026-08-06","Sitelinks, AI overview, Video, Video Carousel, Short videos, People also ask, Twitter","informational","Organic"
"seating chart for wedding","2","2","1000","27","0.95","https://planning.wedding/seating-chart","82","0.06","77.00","1","198","[36,20,20,29,43,22,16,13,36,22,16,22]","2026-07-26","Sitelinks, Image, Image pack, Video, Video Carousel, Short videos, People also ask, Related searches, Twitter, Feature_34","commercial","Organic"
"planning wedding website","1","1","320","53","2.88","https://planning.wedding/","79","0.05","227.00","0.37","116","[0,0,0,0,0,0,0,0,0,0,0,100]","2026-07-03","Sitelinks, Video, Short videos, Twitter, Google Flights","commercial","Organic"
"marriage planner","1","1","320","70","2.27","https://planning.wedding/","79","0.05","179.00","0.05","195","[30,30,20,30,30,24,13,16,16,6,16,6]","2026-07-01","Sitelinks, Image pack, Video, Video Carousel, Short videos, People also ask, Discussions and forums, Local pack, Twitter","informational","Organic"
"wedding reception planner","1","1","320","46","2.37","https://planning.wedding/","79","0.05","187.00","0.24","197","[24,24,24,16,20,24,20,13,30,8,10,8]","2026-07-10","Sitelinks, Image pack, Video, Short videos, People also ask, Local pack, Twitter, Feature_34","commercial","Organic"
"seating at the wedding","1","1","320","23","0.91","https://planning.wedding/seating-chart","79","0.05","71.00","0.82","132","[100,66,23,23,54,44,44,44,44,44,66,66]","2026-07-10","Sitelinks, AI overview, Image pack, Video, Short videos, People also ask, Twitter","informational","Organic"
"free online wedding planner","1","1","320","61","3.70","https://planning.wedding/","79","0.05","292.00","0.51","136","[24,36,36,30,30,30,20,30,16,24,13,24]","2026-08-06","Sitelinks, Video, Short videos, Twitter, Google Flights","commercial","Organic"
"wedding seating arrangement template","1","1","320","41","1.14","https://planning.wedding/seating-chart","79","0.05","90.00","1","194","[10,44,24,4,3,3,3,2,5,1,4,3]","2026-06-29","Sitelinks, Image, Image pack, Video, Video Carousel, Short videos, People also ask, Twitter","informational","Organic"
"wedding seating plan template","1","1","590","43","1.14","https://planning.wedding/seating-chart","77","0.05","87.00","1","191","[55,8,24,55,13,20,11,8,8,11,11,24]","2026-07-05","Sitelinks, Image, Image pack, Video, Video Carousel, Short videos, Twitter","informational","Organic"
"seating plan table","1","1","590","42","0.83","https://planning.wedding/seating-chart","77","0.05","63.00","1","204","[76,67,13,45,67,45,36,36,36,36,55,76]","2026-07-31","Sitelinks, Image pack, Video, Video Carousel, Short videos, People also ask, Related searches, Twitter","informational","Organic"
"wedding seating chart generator","2","2","590","43","1.02","https://planning.wedding/seating-chart","77","0.05","78.00","0.75","204","[55,30,45,67,55,67,24,30,55,45,67,67]","2026-08-01","Sitelinks, Image, Image pack, Video, Short videos, Twitter","informational, transactional","Organic"
"seating chart template for wedding","1","1","590","31","1.14","https://planning.wedding/seating-chart","77","0.05","87.00","1","164","[88,48,59,100,100,39,21,32,32,88,26,32]","2026-08-01","Sitelinks, AI overview, Image, Image pack, Video, Short videos, Twitter","informational","Organic"
"seating plan template","1","1","590","32","1.03","https://planning.wedding/seating-chart","77","0.05","79.00","1","134","[11,20,37,5,13,3,5,100,13,84,16,52]","2026-08-03","Sitelinks, Image, Image pack, Video, Short videos, People also ask, Twitter","informational","Organic"
"wedding plans","1","1","2400","61","2.23","https://planning.wedding/","77","0.05","171.00","0.51","185","[81,100,44,5,5,5,5,2,4,3,4,13]","2026-08-06","AI overview, Image, Image pack, Video, Video Carousel, Short videos, People also ask, Discussions and forums, Twitter","informational","SERP Feature"
"wedding planner helper","1","1","90","21","3.26","https://planning.wedding/","72","0.05","234.00","0.52","211","[52,64,52,100,52,52,23,52,52,29,41,29]","2026-07-30","Sitelinks, Video, Short videos, People also ask, Knowledge panel, Popular products","commercial","Organic"
"seating chart template","7","7","3600","46","1.03","https://planning.wedding/seating-chart","68","0.05","70.00","1","138","[8,10,19,16,16,8,7,10,8,7,10,8]","2026-08-08","Sitelinks, Image, Image pack, Video, Short videos, People also ask, Twitter, Google Flights","informational","Organic"
"wedding seating chart templates","1","1","1600","50","0.95","https://planning.wedding/seating-chart","66","0.04","62.00","0.3","194","[30,41,41,79,100,79,54,36,66,66,100,54]","2026-07-22","Sitelinks, Image, Image pack, Video, Short videos, Related searches, Twitter, Feature_34","informational","SERP Feature"
"wedding to do list planner","4","4","1000","47","1.25","https://planning.wedding/","65","0.04","81.00","1","200","[4,53,44,100,2,2,0,1,2,0,0,4]","2026-07-28","Sitelinks, AI overview, Video, Short videos, Twitter","informational","Organic"
"hochzeitsplaner","2","2","1000","36","2.54","https://planning.wedding/de","65","0.04","165.00","0.33","193","[24,0,1,0,0,36,0,0,100,2,7,7]","2026-07-01","Sitelinks, Video, Video Carousel, Short videos, People also ask, Ads bottom, Twitter, Feature_34","commercial","Organic"
"wedding table seating plan","1","1","260","35","0.97","https://planning.wedding/seating-chart","64","0.04","62.00","1","206","[2,2,2,3,3,100,54,44,29,0,44,67]","2026-06-25","Sitelinks, Image pack, Video, Short videos, Twitter, Feature_34","informational","Organic"
"weding planning","1","1","260","44","2.23","https://planning.wedding/","64","0.04","142.00","0.51","129","[0,4,100,0,0,0,0,0,16,0,0,0]","2026-08-09","AI overview, Image pack, Video, Short videos, People also ask, Discussions and forums, Local pack, Related searches, Twitter, Google Flights","commercial","Organic"
"wedding seating arrangements","1","1","260","46","0.95","https://planning.wedding/seating-chart","64","0.04","60.00","1","203","[54,66,44,35,44,35,28,18,35,54,28,54]","2026-07-19","Sitelinks, Image, Image pack, Video, Video Carousel, Short videos, People also ask, Twitter, Feature_34","commercial","Organic"
"wedding panner","1","1","260","65","2.42","https://planning.wedding/","64","0.04","154.00","0.43","102000000","[0,100,0,0,0,0,0,0,0,0,0,0]","2026-07-02","Sitelinks, Video, Short videos, People also ask, Discussions and forums, Local pack, Twitter","commercial","Organic"
"wedding planner tool","1","1","260","44","3.16","https://planning.wedding/","64","0.04","202.00","0.3","197","[24,8,67,20,100,10,0,0,3,5,0,0]","2026-07-29","Sitelinks, AI overview, Video, Short videos, People also ask, Twitter","informational","Organic"
"wedding reception layout","1","1","260","23","1.22","https://planning.wedding/seating-chart","64","0.04","78.00","0.32","135","[30,20,20,8,10,20,16,16,24,24,30,24]","2026-07-11","Sitelinks, Image, Image pack, Video, Short videos, Twitter","informational","Organic"
"table assignments wedding","1","1","260","37","0.83","https://planning.wedding/seating-chart","64","0.04","53.00","1","195","[36,44,44,44,44,36,19,12,23,19,36,44]","2026-07-02","Sitelinks, Image, Image pack, Video, Short videos, People also ask, Twitter, Feature_34","commercial","Organic"
"free wedding seating chart template","1","1","260","36","1.35","https://planning.wedding/seating-chart","64","0.04","86.00","0.5","129","[32,32,26,32,26,32,21,14,17,21,14,26]","2026-06-23","Sitelinks, Image, Image pack, Video, Short videos, People also ask, Twitter","informational","Organic"
"planning wedding app","1","1","260","21","3.01","https://planning.wedding/","64","0.04","192.00","0.4","163","[0,0,100,0,0,0,0,0,0,0,0,5]","2026-07-10","Sitelinks, Video, Short videos, Twitter, Google Flights","informational","Organic"
